driver_id,vehicle_type,rating,status
1,sedan,3.4,active
2,sedan,4.6,inactive
3,sedan,4.5,inactive
4,economy,3.7,inactive
5,sedan,3.6,active
6,economy,4.3,active
7,suv,4.7,active
8,minivan,4.4,active
9,sedan,3.9,active
10,sedan,3.3,active
11,economy,4.1,active
12,suv,4.4,active
13,economy,4.4,active
14,sedan,4.0,active
15,sedan,3.4,active
16,sedan,3.7,active
17,sedan,3.4,active
18,sedan,3.5,inactive
19,sedan,4.5,active
20,sedan,3.8,active
21,sedan,4.3,active
22,suv,4.7,active
23,suv,3.3,inactive
24,suv,3.8,active
25,sedan,3.4,active
26,suv,3.9,active
27,economy,4.4,active
28,sedan,3.3,active
29,suv,4.1,active
30,sedan,4.8,active
31,sedan,4.8,active
32,sedan,3.9,inactive
33,suv,4.1,active
34,sedan,3.8,active
35,sedan,4.9,active
36,sedan,5.0,active
37,suv,4.8,active
38,sedan,3.0,inactive
39,suv,4.2,active
40,sedan,3.9,active
41,sedan,3.4,active
42,sedan,4.4,active
43,sedan,4.8,active
44,suv,4.6,active
45,suv,4.8,inactive
46,minivan,3.2,active
47,economy,4.3,active
48,sedan,3.7,active
49,economy,3.6,active
50,sedan,3.6,active
51,sedan,3.5,active
52,sedan,3.1,active
53,economy,4.7,active
54,sedan,4.6,active
55,sedan,3.2,active
56,economy,4.5,active
57,suv,4.4,active
58,suv,4.5,active
59,economy,4.2,active
60,sedan,3.0,active
61,sedan,4.2,active
62,suv,3.7,active
63,sedan,4.5,active
64,minivan,4.3,active
65,sedan,3.2,active
66,sedan,3.2,active
67,suv,3.9,inactive
68,economy,3.8,active
69,sedan,4.2,active
70,economy,3.8,active
71,economy,3.6,active
72,economy,4.0,active
73,minivan,3.0,active
74,minivan,4.4,active
75,economy,3.5,inactive
76,minivan,4.0,active
77,sedan,3.2,active
78,economy,3.6,active
79,sedan,4.6,active
80,minivan,4.7,active
81,suv,3.4,inactive
82,sedan,3.4,active
83,economy,3.1,active
84,minivan,3.7,active
85,economy,4.9,inactive
86,suv,3.2,active
87,sedan,3.5,inactive
88,economy,3.4,active
89,sedan,4.6,active
90,minivan,3.6,active
91,sedan,3.1,active
92,economy,3.4,active
93,sedan,3.9,active
94,economy,3.1,active
95,sedan,4.9,active
96,sedan,3.8,active
97,sedan,4.5,active
98,sedan,4.9,active
99,sedan,4.5,active
100,minivan,3.5,inactive
101,sedan,4.3,active
102,sedan,4.6,inactive
103,suv,3.4,active
104,minivan,3.8,active
105,minivan,3.9,active
106,suv,3.2,active
107,minivan,4.0,active
108,sedan,3.8,active
109,sedan,4.4,active
110,economy,3.8,active
111,sedan,4.4,active
112,minivan,3.2,active
113,economy,3.4,active
114,economy,4.5,active
115,suv,3.8,inactive
116,economy,3.7,active
117,sedan,3.9,active
118,sedan,3.1,active
119,sedan,3.9,active
120,suv,4.0,active
121,suv,4.7,active
122,minivan,3.3,active
123,economy,4.1,active
124,economy,4.0,active
125,sedan,4.3,active
126,sedan,3.4,active
127,sedan,3.7,active
128,economy,3.1,active
129,sedan,3.1,active
130,economy,3.8,active
131,economy,3.3,active
132,economy,4.1,active
133,sedan,4.6,inactive
134,sedan,3.3,active
135,minivan,3.7,inactive
136,sedan,3.7,active
137,suv,4.3,active
138,sedan,3.6,active
139,suv,4.8,active
140,sedan,3.8,inactive
141,sedan,4.4,active
142,suv,3.2,active
143,economy,4.6,active
144,economy,3.1,active
145,suv,3.7,inactive
146,minivan,4.2,active
147,sedan,3.5,active
148,sedan,4.6,active
149,sedan,3.9,inactive
150,economy,3.3,active
151,sedan,3.7,active
152,economy,4.1,active
153,minivan,4.1,active
154,sedan,4.6,active
155,minivan,3.7,active
156,sedan,3.5,active
157,suv,4.6,active
158,sedan,4.5,active
159,sedan,4.3,inactive
160,minivan,3.2,active
161,suv,4.8,inactive
162,sedan,4.2,active
163,sedan,3.5,active
164,sedan,3.4,active
165,suv,4.7,active
166,sedan,3.7,inactive
167,sedan,4.8,active
168,minivan,3.0,active
169,economy,4.4,active
170,minivan,4.7,active
171,suv,4.3,inactive
172,sedan,4.4,active
173,economy,4.5,active
174,sedan,4.8,active
175,economy,3.6,active
176,suv,4.7,active
177,suv,4.1,active
178,sedan,4.6,active
179,economy,3.9,active
180,sedan,3.4,active
181,economy,3.3,active
182,economy,3.1,inactive
183,sedan,3.2,active
184,sedan,3.7,active
185,sedan,4.4,inactive
186,economy,3.4,active
187,sedan,4.8,active
188,minivan,3.1,active
189,economy,3.0,active
190,sedan,3.0,active
191,economy,3.1,active
192,sedan,3.1,active
193,sedan,3.8,active
194,suv,3.3,active
195,sedan,3.1,inactive
196,sedan,3.7,active
197,suv,4.0,active
198,sedan,4.6,active
199,economy,4.6,inactive
200,sedan,3.6,inactive
201,sedan,4.7,active
202,economy,3.6,active
203,minivan,3.7,inactive
204,sedan,3.9,active
205,economy,4.3,active
206,sedan,4.4,inactive
207,sedan,5.0,active
208,sedan,4.7,active
209,suv,4.1,active
210,minivan,3.4,active
211,sedan,4.8,inactive
212,sedan,4.4,active
213,economy,4.6,inactive
214,sedan,4.7,active
215,sedan,5.0,inactive
216,economy,3.8,inactive
217,suv,3.8,active
218,suv,3.2,active
219,suv,4.1,inactive
220,sedan,3.1,active
221,economy,3.4,inactive
222,sedan,4.5,active
223,sedan,3.1,active
224,sedan,3.8,active
225,suv,4.6,active
226,sedan,4.5,active
227,sedan,3.4,active
228,sedan,3.1,active
229,sedan,4.2,inactive
230,sedan,3.8,active
231,suv,4.5,active
232,sedan,4.1,active
233,sedan,3.0,active
234,sedan,4.7,active
235,sedan,4.7,active
236,sedan,3.0,active
237,sedan,4.4,inactive
238,suv,3.9,active
239,economy,3.2,inactive
240,sedan,3.6,active
241,minivan,4.6,inactive
242,sedan,4.0,active
243,minivan,3.9,inactive
244,sedan,4.5,inactive
245,economy,3.9,active
246,sedan,3.2,active
247,economy,3.5,active
248,suv,3.4,inactive
249,sedan,4.5,active
250,sedan,4.6,active
251,suv,3.5,active
252,economy,3.1,active
253,sedan,3.2,active
254,sedan,5.0,active
255,suv,4.8,active
256,minivan,3.6,inactive
257,suv,4.2,active
258,sedan,4.5,active
259,sedan,4.7,inactive
260,sedan,3.9,active
261,sedan,4.9,active
262,sedan,3.1,active
263,sedan,4.9,active
264,economy,4.2,inactive
265,sedan,4.2,inactive
266,sedan,4.0,active
267,minivan,3.2,active
268,economy,3.9,inactive
269,suv,3.3,active
270,sedan,4.5,inactive
271,suv,3.3,active
272,suv,3.0,active
273,economy,4.4,active
274,economy,4.5,inactive
275,economy,4.3,active
276,minivan,3.8,active
277,minivan,3.9,active
278,economy,4.8,active
279,suv,4.4,active
280,economy,3.0,active
281,economy,3.1,active
282,sedan,4.4,active
283,sedan,4.0,active
284,sedan,4.0,active
285,economy,3.8,active
286,suv,3.7,active
287,sedan,4.5,active
288,sedan,3.6,active
289,sedan,3.9,active
290,economy,4.8,active
291,suv,3.4,active
292,sedan,3.2,active
293,suv,4.6,active
294,minivan,3.2,active
295,sedan,4.4,active
296,sedan,5.0,inactive
297,sedan,4.0,active
298,sedan,5.0,active
299,sedan,4.7,active
300,minivan,3.9,active
301,sedan,4.2,active
302,suv,3.3,active
303,economy,3.8,active
304,suv,3.7,active
305,minivan,4.3,active
306,suv,4.3,inactive
307,sedan,4.1,inactive
308,sedan,4.3,inactive
309,sedan,3.1,active
310,suv,3.7,inactive
311,sedan,4.3,active
312,suv,4.6,inactive
313,economy,4.8,active
314,economy,4.1,active
315,sedan,4.8,active
316,suv,4.7,active
317,sedan,4.9,active
318,minivan,3.0,active
319,sedan,4.6,active
320,sedan,3.7,active
321,minivan,3.1,active
322,sedan,3.3,active
323,sedan,4.8,active
324,sedan,4.0,active
325,sedan,4.3,active
