event_id,event_name,location_id,event_date,estimated_attendance
101,Concert,118,2025-12-15,11518
102,Sports Match,195,2025-12-06,37129
103,Conference,1,2026-01-25,33236
104,Conference,141,2026-02-05,28090
105,Concert,34,2026-02-27,38912
106,Festival,240,2026-01-31,28246
107,Conference,116,2025-12-12,39304
108,Concert,205,2026-01-06,28378
109,Conference,230,2026-01-29,35691
110,Sports Match,80,2026-01-06,41258
111,Conference,205,2026-01-29,3400
112,Festival,32,2025-12-09,10567
113,Festival,39,2025-12-09,33619
114,Sports Match,25,2026-01-18,16459
115,Sports Match,103,2025-12-20,5125
116,Sports Match,113,2025-12-05,4137
117,Festival,116,2026-02-22,43001
118,Festival,248,2026-02-15,4179
119,Concert,263,2025-12-20,32686
120,Conference,108,2025-12-13,33300
121,Sports Match,84,2026-01-12,1632
122,Sports Match,242,2026-01-23,24914
123,Sports Match,224,2026-01-13,9841
124,Concert,79,2026-01-15,36776
125,Festival,207,2025-12-28,14538
126,Conference,75,2026-02-18,5300
127,Concert,236,2026-01-05,31686
128,Festival,246,2026-01-14,43648
129,Sports Match,142,2026-01-19,41615
130,Sports Match,208,2026-02-10,16799
