ride_id,driver_id,pickup_location_id,dropoff_location_id,pickup_datetime,trip_duration_minutes,fare_amount
16507,473,8,260,2025-12-01 00:04:00,14,22.37
13186,330,177,116,2025-12-01 00:11:00,7,14.04
2476,28,68,156,2025-12-01 00:17:00,47,71.86
6459,190,60,231,2025-12-01 00:21:00,12,20.01
8467,302,96,5,2025-12-01 00:22:00,48,75.35
1786,167,60,51,2025-12-01 00:34:00,34,55.24
16043,409,104,237,2025-12-01 00:45:00,5,9.82
7309,83,213,134,2025-12-01 00:47:00,39,61.18
4817,316,73,208,2025-12-01 00:59:00,34,53.34
19844,306,163,53,2025-12-01 00:59:00,10,19.84
12934,384,247,227,2025-12-01 01:17:00,26,40.79
15661,152,200,259,2025-12-01 01:34:00,47,74.77
11676,29,143,212,2025-12-01 01:40:00,22,35.34
15385,354,25,253,2025-12-01 01:48:00,17,33.12
19145,158,235,98,2025-12-01 01:49:00,52,81.74
12488,323,39,217,2025-12-01 01:57:00,17,27.3
4502,295,244,217,2025-12-01 02:01:00,10,16.14
13812,400,34,142,2025-12-01 02:20:00,39,58.78
10643,60,168,136,2025-12-01 02:33:00,5,9.84
9067,198,237,220,2025-12-01 02:37:00,60,95.88
2109,72,47,240,2025-12-01 02:38:00,32,53.6
10932,101,226,176,2025-12-01 02:39:00,30,50.52
17775,98,50,230,2025-12-01 02:40:00,14,25.48
14691,354,163,167,2025-12-01 02:40:00,30,47.98
14166,394,85,80,2025-12-01 02:45:00,20,30.86
933,374,173,7,2025-12-01 02:51:00,56,85.62
12871,151,245,251,2025-12-01 02:53:00,56,89.63
6150,388,4,37,2025-12-01 03:06:00,15,28.14
7804,23,18,80,2025-12-01 03:09:00,49,77.69
8403,16,108,31,2025-12-01 03:15:00,19,29.17
15433,18,61,91,2025-12-01 03:20:00,44,69.44
6757,346,243,110,2025-12-01 03:23:00,15,26.09
1839,378,136,89,2025-12-01 03:27:00,7,13.81
1862,135,121,183,2025-12-01 03:30:00,6,12.0
15812,336,140,136,2025-12-01 03:35:00,50,77.91
8556,373,83,121,2025-12-01 03:38:00,57,89.12
4021,54,183,24,2025-12-01 03:41:00,5,7.19
19668,220,91,35,2025-12-01 03:42:00,9,20.13
9625,20,86,12,2025-12-01 03:52:00,31,50.14
9371,434,203,86,2025-12-01 03:54:00,8,19.02
18368,445,122,47,2025-12-01 03:54:00,47,71.39
2419,19,130,28,2025-12-01 04:15:00,22,38.16
7709,483,56,139,2025-12-01 04:26:00,9,18.14
12778,416,187,28,2025-12-01 04:26:00,39,61.79
12760,47,109,230,2025-12-01 04:36:00,21,34.66
5188,221,98,26,2025-12-01 04:41:00,53,81.35
10641,11,168,87,2025-12-01 04:43:00,5,9.66
7963,413,160,248,2025-12-01 05:03:00,11,19.77
11686,364,166,196,2025-12-01 05:06:00,43,71.59
13846,173,110,103,2025-12-01 05:09:00,41,61.5
3821,251,144,219,2025-12-01 05:10:00,13,21.59
11870,3,196,249,2025-12-01 05:10:00,9,13.57
6809,433,170,38,2025-12-01 05:20:00,27,42.92
2754,37,215,105,2025-12-01 05:25:00,26,43.98
17763,79,51,90,2025-12-01 05:27:00,60,94.47
17244,277,83,15,2025-12-01 05:41:00,52,82.36
4154,36,95,110,2025-12-01 05:43:00,47,72.81
3479,65,250,140,2025-12-01 05:53:00,44,69.47
789,232,54,25,2025-12-01 05:58:00,16,26.05
8136,323,207,179,2025-12-01 06:19:00,17,23.7
15497,317,141,227,2025-12-01 06:20:00,39,60.12
3698,3,57,236,2025-12-01 06:27:00,48,77.31
18310,470,150,200,2025-12-01 06:38:00,30,46.7
8283,179,259,243,2025-12-01 06:40:00,43,68.0
8193,75,11,110,2025-12-01 06:42:00,38,60.91
18480,335,42,117,2025-12-01 06:44:00,35,52.43
3762,413,27,192,2025-12-01 06:45:00,14,25.05
12547,489,221,30,2025-12-01 06:51:00,38,57.33
12620,139,124,219,2025-12-01 07:03:00,29,47.23
4433,139,102,63,2025-12-01 07:48:00,30,46.18
8917,76,81,194,2025-12-01 08:06:00,42,66.28
18703,207,52,98,2025-12-01 08:08:00,60,94.88
15561,87,79,74,2025-12-01 08:16:00,45,73.11
12293,210,229,32,2025-12-01 08:23:00,52,79.89
12120,482,12,225,2025-12-01 08:27:00,39,58.33
3952,81,33,94,2025-12-01 08:27:00,55,85.0
8421,50,264,28,2025-12-01 08:30:00,34,55.43
3988,390,229,225,2025-12-01 08:40:00,50,74.74
5325,496,224,141,2025-12-01 08:54:00,17,32.84
1763,398,261,75,2025-12-01 09:04:00,21,30.82
8488,229,96,259,2025-12-01 09:08:00,40,65.11
740,47,56,50,2025-12-01 09:18:00,15,24.93
14958,361,25,106,2025-12-01 09:23:00,44,67.33
19894,279,239,246,2025-12-01 09:35:00,26,42.48
8090,487,208,226,2025-12-01 09:43:00,54,82.95
14378,10,125,184,2025-12-01 09:46:00,27,41.17
10705,150,241,197,2025-12-01 09:52:00,54,82.31
17836,381,155,150,2025-12-01 09:55:00,43,66.26
5914,345,244,165,2025-12-01 10:00:00,47,72.05
8996,476,60,172,2025-12-01 10:13:00,40,62.4
11952,197,263,165,2025-12-01 10:13:00,45,69.07
4266,200,56,136,2025-12-01 10:15:00,9,16.19
8462,376,73,224,2025-12-01 10:19:00,60,97.1
11075,223,6,156,2025-12-01 10:25:00,15,23.61
3311,233,89,222,2025-12-01 10:28:00,21,36.14
3665,437,98,225,2025-12-01 10:31:00,50,77.02
9026,481,87,114,2025-12-01 10:35:00,55,84.53
14981,148,184,184,2025-12-01 10:43:00,25,42.72
4738,413,49,94,2025-12-01 10:43:00,56,87.19
9650,318,92,77,2025-12-01 10:51:00,16,27.01
12135,359,207,152,2025-12-01 11:07:00,38,60.35
6903,411,264,186,2025-12-01 11:17:00,13,24.68
13565,345,174,142,2025-12-01 11:19:00,12,22.13
7143,77,105,43,2025-12-01 11:26:00,45,69.59
7700,250,252,146,2025-12-01 11:40:00,9,19.43
17336,118,42,57,2025-12-01 11:50:00,10,18.11
1968,7,36,171,2025-12-01 12:00:00,19,32.61
11758,82,126,79,2025-12-01 12:04:00,16,27.25
15225,310,66,247,2025-12-01 12:10:00,18,28.84
17959,401,102,237,2025-12-01 12:11:00,39,59.43
14034,436,208,101,2025-12-01 12:22:00,51,80.76
5856,183,49,252,2025-12-01 12:22:00,32,50.91
6934,105,35,237,2025-12-01 12:25:00,44,67.7
13016,168,235,97,2025-12-01 12:28:00,34,51.39
1080,133,151,100,2025-12-01 12:29:00,13,19.26
8147,54,114,66,2025-12-01 12:43:00,59,95.64
5355,389,225,156,2025-12-01 13:04:00,35,54.43
10983,384,7,106,2025-12-01 13:09:00,54,84.76
3697,154,198,210,2025-12-01 13:10:00,37,58.63
18589,397,105,182,2025-12-01 13:13:00,32,50.01
5474,338,191,122,2025-12-01 13:13:00,7,12.84
7628,80,153,111,2025-12-01 13:37:00,59,90.58
14850,283,132,226,2025-12-01 13:38:00,22,36.18
5473,297,57,157,2025-12-01 13:38:00,47,72.76
19531,473,63,162,2025-12-01 13:47:00,44,73.08
11123,476,63,120,2025-12-01 13:51:00,25,40.23
10500,341,10,90,2025-12-01 13:56:00,59,91.12
15576,176,153,156,2025-12-01 13:59:00,35,56.48
11104,318,8,68,2025-12-01 14:06:00,60,92.93
10886,60,231,23,2025-12-01 14:11:00,23,41.18
16379,120,251,160,2025-12-01 14:21:00,58,89.96
11060,250,190,251,2025-12-01 14:29:00,46,72.69
4919,424,127,6,2025-12-01 14:31:00,40,58.24
18352,240,67,247,2025-12-01 14:35:00,16,23.68
5479,205,196,250,2025-12-01 14:40:00,52,80.64
4072,11,70,265,2025-12-01 14:41:00,20,30.92
13064,325,63,197,2025-12-01 14:49:00,44,68.58
9105,160,36,60,2025-12-01 14:51:00,31,48.66
9995,482,228,203,2025-12-01 14:52:00,10,18.1
15409,96,67,195,2025-12-01 15:06:00,14,24.68
